function	feces1	feces2	feces3	feces4	feces5	feces6	plaque1	plaque2	plaque3	plaque4	plaque5	plaque6	saliva1	saliva2	saliva3	saliva4	saliva5	saliva6
K03781	24.0	12.0	0.0	63.0	51.33	0.0	195.5	38.33	45.5	29.0	74.5	31.7	46.6	352.6	158.7	375.2	149.4	82.1
K03782	0.0	0.0	0.0	0.0	0.0	0.0	10.5	0.0	3.5	0.0	6.0	0.0	10.0	0.0	1.5	1.0	2.0	0.5
K03783	757.76	506.15999999999997	1199.2499999999998	485.8	553.38	204.3	1523.13	453.75	870.0200000000001	496.25	1132.43	358.03	724.21	1028.58	1037.54	1158.79	927.3499999999999	981.1800000000002
K03784	436.5	348.07	574.84	340.0	364.42	63.5	1000.58	388.0	425.92999999999995	296.0	560.6600000000001	193.18	492.96	674.09	612.8800000000003	861.1	839.3599999999998	732.8400000000001
K03785	92.0	130.89999999999998	391.84000000000003	83.0	232.75000000000003	153.8	281.95	261.66999999999996	108.7	178.91999999999996	149.67	80.82000000000001	224.57999999999996	578.84	581.9200000000001	876.4800000000001	750.3199999999999	555.7900000000001
K03786	816.51	429.3399999999999	1002.8299999999999	593.8000000000001	552.96	97.25	1649.6899999999998	288.90999999999997	779.08	424.90999999999997	1207.7400000000002	330.15999999999997	729.5900000000001	650.1800000000001	666.51	830.82	434.84000000000003	951.9900000000002
K03787	316.26	103.42	394.5799999999999	143.79999999999998	183.96	8.0	1586.8600000000001	249.34	747.0099999999999	364.33	1133.9900000000002	258.62	678.95	623.78	730.5499999999998	938.3500000000001	474.74	728.1800000000002
K03788	0.0	0.0	0.0	0.0	0.0	1.0	35.66	28.0	5.0	5.0	52.0	24.0	5.84	52.18000000000001	21.85	96.82	50.510000000000005	118.0
K03789	578.25	439.65	1014.7599999999999	560.5	582.92	243.25	1474.7499999999998	611.34	659.02	458.5899999999999	902.73	330.8	732.8200000000003	985.03	947.8300000000002	1312.5500000000002	1255.75	1256.7599999999995
K03790	645.25	545.8199999999999	1083.76	459.5	554.25	232.55	385.99	386.82	356.43000000000006	322.74999999999994	181.66	120.19	333.80000000000007	833.35	720.4000000000001	1056.6399999999999	920.82	799.25
K03791	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.6	0.6	3.2	0.2	30.4	17.6
K03793	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.5	2.5	0.5	7.5	3.0	0.0	0.0	0.0	0.0	0.0	0.0
K03795	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	2.0	0.0	16.0	2.0
K03796	0.0	0.0	0.0	0.0	0.0	0.0	59.66	10.91	91.83	55.41	28.74	4.91	43.58	31.33	42.83	117.83	50.0	124.58
K03797	1375.92	717.1000000000001	1973.0700000000004	854.4	1044.88	245.3	3903.4999999999995	772.67	2068.17	1177.08	2998.4699999999993	741.95	1568.1100000000001	1315.8600000000001	1618.2900000000002	1952.34	1015.4899999999999	1992.8399999999997
K03798	1520.01	1018.7400000000001	2737.8399999999997	1215.3	1286.7099999999998	543.15	3015.949999999999	721.9199999999998	1388.19	727.33	1950.3999999999996	596.3000000000001	1275.9899999999996	1394.6099999999997	1452.6599999999999	1894.3	1438.6700000000003	1734.4299999999994
K03799	33.870000000000005	89.54	126.3	158.5	250.21000000000004	25.75	1187.69	328.25	277.28	367.83000000000004	536.16	167.14000000000001	490.75000000000017	884.4399999999999	871.4299999999998	1246.1299999999999	1095.8200000000002	1051.5300000000002
K03800	498.37	89.07	492.92	180.5	153.75	80.75	673.8400000000001	417.01000000000005	314.18	173.17999999999998	441.91	167.43	359.7000000000001	945.5799999999999	789.6100000000001	983.1099999999999	905.5999999999998	709.8400000000001
K03801	277.76	41.89	35.71	96.0	178.79000000000002	0.0	461.0799999999999	56.0	301.25	71.0	436.0	113.95	364.69000000000005	513.45	398.88	516.19	226.24	230.59000000000003
K03803	422.76	82.09	223.91	138.79999999999998	173.96	2.0	413.6	213.75000000000003	486.4099999999999	186.75	556.9799999999999	116.74	370.25000000000006	320.00999999999993	230.08999999999997	430.81	136.01	307.15999999999997
K03804	0.0	0.0	0.0	0.0	0.0	0.0	1.6600000000000001	0.0	0.0	5.0	0.0	1.0	1.8399999999999999	48.18000000000001	5.85	71.82	15.51	11.0
K03806	0.0	0.0	0.0	0.0	0.0	0.0	40.66	4.0	2.0	7.0	1.0	3.2	53.440000000000005	160.77999999999997	160.04999999999995	212.02	90.91	39.6
K03808	0.0	0.0	0.0	0.0	0.0	0.0	307.65999999999997	17.0	71.0	13.0	121.0	25.2	62.440000000000005	163.77999999999997	161.04999999999995	212.02	90.91	42.6
K03809	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	1.0	1.0	0.0	1.2	41.6	103.6	148.2	139.2	64.4	20.6
K03810	15.0	0.0	143.0	0.0	0.0	1.0	422.25	131.5	141.25	160.0	267.0	66.0	102.25	217.0	271.0	225.0	173.0	271.25
K03811	316.76	136.49	378.91	137.8	220.21	40.8	864.3500000000001	224.82999999999998	475.02000000000004	331.68	673.9300000000001	213.37	489.48	1094.94	974.7199999999999	1206.1499999999999	835.0699999999999	801.9500000000002
K03813	0.0	0.0	0.0	8.0	1.0	0.0	45.66	2.0	26.5	8.0	45.0	2.0	53.34	49.18000000000001	11.85	85.82	19.509999999999998	15.0
K03814	299.76	81.59	344.90999999999997	30.8	130.46	0.0	699.61	142.5	210.75	241.0	352.5	104.2	241.18999999999994	321.7800000000001	465.55	477.5199999999999	196.41	387.35
K03816	674.37	507.73999999999995	1328.4999999999998	496.8	700.21	245.05	900.63	414.42	637.03	401.08000000000004	796.9200000000001	272.78	478.39000000000004	801.08	885.5400000000003	1105.6200000000003	1003.18	1035.4300000000003
K03817	0.0	5.07	0.17	33.0	93.67	0.0	93.38	5.0	20.53	8.66	42.6	25.86	68.78999999999999	55.01	52.01999999999999	38.84	97.91000000000001	34.29
K03818	192.0	4.14	0.71	0.0	22.619999999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K03820	25.0	12.5	0.0	93.0	48.83	1.0	591.41	25.0	182.25	30.0	305.0	91.95	285.43999999999994	193.77999999999997	228.54999999999995	300.02	175.41	198.93
K03821	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	2.0	0.0	16.0	2.0
K03823	771.87	498.53999999999996	853.97	494.0	609.5400000000001	202.05	334.8	120.76	82.03999999999999	125.42	171.0	96.9	239.14999999999998	392.78000000000003	491.9699999999999	667.1200000000001	727.7199999999999	611.8800000000002
K03824	0.0	0.5	0.0	38.0	3.5	0.0	128.0	6.0	34.5	3.0	59.5	10.5	2.0	0.0	0.0	0.0	0.0	0.0
K03826	28.0	35.0	118.0	69.0	107.33	72.6	8.0	4.0	13.0	3.0	10.0	4.0	13.0	7.0	15.0	3.0	6.0	17.0
K03827	312.42	20.78	1.42	85.0	215.09	11.8	3.0	0.0	1.0	0.0	0.0	3.0	3.0	2.0	2.0	1.0	5.0	0.0
K03828	16.0	0.0	0.0	0.0	7.0	0.0	14.5	1.5	4.83	17.009999999999998	1.33	7.67	51.0	94.67	52.67	39.0	58.83	21.33
