Genus	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6	All
Virgisporangium	0.45	0.5	0.11	0.27	0.04	0.14	0.31	0.45	0.23	0.24	0.11	0.24	0.28	0.16	0.33	0.15	0.13	0.36	0.6
Altererythrobacter	0.28	0.23	0.21	0.23	0.36	0.38	0.26	0.42	0.19	0.24	0.27	0.21	0.13	0.27	0.33	0.26	0.31	0.23	0.5
Stenotrophobium	0.31	0.24	0.28	0.28	0.08	0.21	0.47	0.28	0.31	0.22	0.29	0.44	0.18	0.33	0.34	0.27	0.22	0.46	0.5
Brevundimonas	0.22	0.16	0.28	0.4	0.43	0.17	0.12	0.2	0.08	0.11	0.14	0.11	0.06	0.19	0.14	0.17	0.15	0.12	0.5
Microvirga	0.15	0.24	0.13	0.1	0.13	0.14	0.29	0.15	0.15	0.13	0.14	0.29	0.08	0.12	0.1	0.13	0.15	0.18	0.4
Dactylosporangium	0.34	0.58	0.31	0.27	0.09	0.22	0.57	0.62	0.28	0.38	0.34	0.4	0.36	0.34	0.45	0.42	0.21	0.67	0.4
Duganella	0.85	0.3	0.39	0.51	0.62	0.69	0.21	0.11	0.43	0.19	0.16	0.08	0.6	0.32	0.21	0.24	0.42	0.21	0.4
Hamadaea	0.09	0.45	0.04	0.13	0.11	0.13	0.12	0.23	0.14	0.13	0.18	0.22	0.17	0.3	0.34	0.17	0.16	0.13	0.4
Rhodoplanes	0.22	0.4	0.75	0.12	0.12	0.22	0.39	0.32	0.36	0.21	0.22	0.23	0.15	0.22	0.25	0.32	0.16	0.2	0.4
Phragmitibacter	0.1	0.05	0.06	0.02	0.04	0.07	0.18	0.11	0.15	0.09	0.14	0.15	0.08	0.04	0.11	0.12	0.04	0.05	0.4
Pseudoduganella	1.81	0.91	0.98	2.9	1.91	3.04	0.61	0.46	2.53	1.6	1.07	1.18	2.59	4.24	1.15	1.67	1.52	1.28	0.4
Actinophytocola	0.77	0.94	0.45	1.54	0.16	0.55	0.99	1.07	1.19	0.62	0.78	0.82	1.42	0.72	0.66	0.91	0.2	2.56	0.4
Geomonas	0.1	0.05	0.03	0.06	0.06	0.09	0.11	0.12	0.13	0.11	0.15	0.11	0.07	0.15	0.07	0.06	0.04	0.06	0.4
Bradyrhizobium	2	2.64	2.22	1.84	1.93	2.37	2.93	2	1.66	1.61	2.29	2.38	1.76	1.57	2.12	2.17	1.95	2.29	0.4
Catellatospora	0.66	0.5	0.28	0.33	0.34	0.17	0.52	0.61	0.34	0.26	0.5	0.31	0.38	0.25	0.41	0.19	0.29	0.47	0.4
Noviherbaspirillum	1.62	1.8	1.29	1.44	3.06	1.68	3.17	2.35	1.29	2.43	1.63	0.98	2.45	2.41	2.47	2.14	1.44	2.57	0.4
Bosea	0.31	0.32	0.75	0.27	0.65	0.39	0.28	0.45	0.12	0.22	0.37	0.24	0.41	0.26	0.24	0.43	0.68	0.4	0.4
Caulobacter	0.24	0.15	0.13	0.18	0.07	0.26	0.16	0.33	0.2	0.15	0.29	0.21	0.21	0.11	0.11	0.22	0.13	0.23	0.4
Promicromonospora	0.2	0.35	0.13	0.24	0.1	0.44	0.3	0.17	0.16	0.14	0.46	0.33	0.13	0.19	0.2	0.18	0.14	0.19	0.4
Desulfuromonas	0.05	0.06	0.05	0.13	0.01	0.08	0.09	0.06	0.07	0.08	0.11	0.11	0.09	0.03	0.19	0.14	0.19	0.09	0.4
Novimethylophilus	0.22	0.25	0.16	0.16	0.29	0.28	0.15	0.16	0.26	0.24	0.19	0.12	0.25	0.24	0.44	0.27	0.28	0.21	0.4
Ensifer	0.33	0.31	0.57	0.54	0.66	0.52	0.34	0.3	0.29	0.33	0.31	0.45	0.22	0.44	0.29	0.38	0.38	0.47	0.4
Chitinimonas	0.1	0.11	0.07	0.1	0.04	0.1	0.16	0.12	0.05	0.09	0.16	0.15	0.12	0.05	0.07	0.05	0.04	0.17	0.4
Lacipirellula	0.02	0.11	0.07	0.02	0	0.04	0.32	0.44	0.14	0.08	0.11	0.27	0.09	0.08	0.12	0.11	0.04	0.04	0.4
Corallococcus	0.16	0.16	0.03	0.05	0.03	0.08	0.22	0.18	0.12	0.25	0.19	0.2	0.06	0.18	0.11	0.13	0.05	0.1	0.4
Phenylobacterium	0.85	0.75	0.9	0.57	0.87	1	0.67	0.47	0.29	0.53	0.78	0.64	0.62	0.72	0.58	0.56	0.6	0.68	0.4
Anaeromyxobacter	0.33	0.12	0.28	0.32	0.23	0.23	0.24	0.23	0.55	0.34	0.36	0.37	0.43	0.49	0.46	0.39	0.37	0.5	0.4
Cupriavidus	0.03	0.01	0.03	0.14	0.03	0.26	0.1	0.06	0.1	0.07	0.05	0.13	0.03	0.07	0.02	0.12	0.08	0.08	0.4
Oryzihumus	0.44	0.91	0.42	0.78	0.15	0.23	0.85	0.53	0.61	0.85	0.61	0.53	1.17	1.14	0.92	0.83	1.01	0.63	0.4
Gemmatirosa	0.07	0.05	0.07	0.04	0.02	0.04	0.12	0.11	0.13	0.08	0.09	0.11	0.04	0.08	0.09	0.03	0.06	0.08	0.3
Ferrovibrio	0.13	0.12	0.11	0.05	0.09	0.07	0.13	0.07	0.08	0.07	0.12	0.15	0.18	0.17	0.13	0.3	0.13	0.21	0.3
Ideonella	1.35	0.9	0.93	1.14	1.11	1.3	1.36	0.96	1.13	1.69	1.1	1.24	1.24	1.29	1.49	0.97	1.03	1.32	0.3
Acidiferrimicrobium	0.14	0.06	0.01	0.08	0.02	0.02	0.22	0.1	0.09	0.11	0.14	0.15	0.07	0.08	0.09	0.16	0.08	0.11	0.3
Algoriphagus	0.07	0.02	0.07	0.06	0.02	0.04	0.11	0.08	0.32	0.15	0.12	0.09	0.15	0.14	0.15	0.09	0.12	0.11	0.3
Paraconexibacter	0.07	0.15	0.07	0.05	0.06	0.09	0.16	0.19	0.11	0.1	0.12	0.14	0.16	0.1	0.1	0.14	0.08	0.08	0.3
Novosphingobium	0.04	0.06	0.08	0.11	0.07	0.12	0.09	0.08	0.02	0.07	0.06	0.07	0.03	0.01	0.09	0.03	0.03	0.12	0.3
Polaromonas	0.28	0.14	0.31	0.2	0.26	0.28	0.09	0.09	0.18	0.21	0.25	0.33	0.2	0.23	0.17	0.21	0.25	0.11	0.2
Aquidulcibacter	0.21	0.17	0.16	0.1	0.12	0.15	0.32	0.15	0.2	0.17	0.19	0.23	0.16	0.24	0.23	0.17	0.12	0.25	0.2
Reyranella	0.17	0.19	0.23	0.12	0.05	0.2	0.25	0.14	0.16	0.15	0.12	0.23	0.14	0.1	0.16	0.2	0.06	0.09	0.2
Hydrogenophaga	0.25	0.2	0.13	0.27	1	0.33	0.19	0.28	0.15	0.47	0.45	0.24	0.2	0.06	0.21	0.26	0.19	0.25	0.2
Azohydromonas	0.16	0.22	0.1	0.18	0.14	0.14	0.22	0.03	0.24	0.27	0.27	0.09	0.14	0.22	0.27	0.13	0.15	0.13	0.2
Nonomuraea	0.1	0.44	0.22	0.24	0.04	0.15	0.27	0.3	0.15	0.16	0.33	0.07	0.11	0.26	0.22	0.06	0.34	0.37	0.2
Thermoleophilum	0.03	0.21	0.07	0.07	0.06	0.05	0.08	0.1	0.1	0.12	0.12	0.14	0.09	0.09	0.07	0.06	0.17	0.06	0.2
