OTUID	E1	E2	E3	E4	E5	E6	E7	N1	N2	O1	O2	S1	OTUID2	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU_1147	0	0	1	0	0	0	0	0	0	0	0	0	OTU_1147	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Alcaligenaceae	Saccharedens	uncultured Alcaligenaceae bacterium
OTU_1148	0	0	1	0	0	0	0	0	0	0	0	0	OTU_1148	Bacteria	Cyanobacteriota	Cyanobacteriia	Chloroplast	Incertae Sedis	Incertae Sedis	Thalassiosira pseudonana
OTU_115	1	0	0	0	0	0	0	0	0	0	0	0	OTU_115	Bacteria	Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	Sva0081 sediment group	uncultured delta proteobacterium
OTU_1150	0	0	1	0	0	0	0	0	0	0	1	0	OTU_1150	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Halieaceae	Congregibacter	uncultured bacterium
OTU_1152	0	0	1	0	0	0	0	0	0	0	0	0	OTU_1152	Bacteria	Verrucomicrobiota	Kiritimatiellia	Kiritimatiellales	Kiritimatiellaceae	R76-B128	uncultured bacterium
OTU_1153	0	0	1	0	0	0	0	0	0	0	0	0	OTU_1153	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas sp.
OTU_1154	0	0	1	0	0	0	0	0	0	0	0	0	OTU_1154	Bacteria	Pseudomonadota	Alphaproteobacteria	Pelagibacterales	Clade III	Incertae Sedis	uncultured bacterium
OTU_1155	0	0	1	1	0	0	0	0	0	0	0	0	OTU_1155	Bacteria	Pseudomonadota	Alphaproteobacteria	Pelagibacterales	Clade III	Incertae Sedis	uncultured bacterium
OTU_1156	0	0	1	0	0	0	0	0	0	0	0	0	OTU_1156	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Mitochondria	Incertae Sedis	uncultured bacterium
OTU_1158	0	0	1	0	0	0	0	0	0	0	0	0	OTU_1158	Bacteria	Pseudomonadota	Alphaproteobacteria	Pelagibacterales	Clade III	Incertae Sedis	uncultured bacterium
OTU_1159	0	0	1	0	0	0	0	0	0	0	0	0	OTU_1159	Bacteria	Cyanobacteriota	Cyanobacteriia	Chloroplast	Incertae Sedis	Incertae Sedis	uncultured bacterium
