#OTUID	feces1	feces2	feces3	feces4	feces5	feces6	plaque1	plaque2	plaque3	plaque4	plaque5	plaque6	saliva1	saliva2	saliva3	saliva4	saliva5	saliva6
ASV_1362	0	0	0	0	0	0	0	0	1	0	0	7	4	5	0	7	2	1
ASV_1381	3	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1426	0	0	0	0	0	0	2	10	0	2	0	21	0	0	0	1	0	1
ASV_847	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1050	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1108	0	0	0	0	0	0	4	0	0	0	0	18	0	0	0	4	1	0
ASV_774	8	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_955	0	0	0	0	0	0	1	0	2	0	0	2	5	2	0	3	0	0
ASV_1080	1	11	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1137	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1167	0	0	0	0	0	0	1	0	0	0	36	0	0	0	0	0	0	0
ASV_1180	0	7	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1085	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1260	0	0	0	0	0	0	1	3	1	0	0	0	1	0	38	0	6	0
ASV_1469	0	1	2	3	2	3	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1507	0	0	0	0	0	0	1	3	12	0	2	3	5	0	3	1	0	3
ASV_870	1	0	0	6	3	3	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1020	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1198	0	0	0	0	0	0	0	0	0	18	0	1	6	8	0	4	1	0
ASV_1269	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1341	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	1	14	9
ASV_1361	0	0	0	0	0	0	0	11	0	0	16	0	0	0	3	0	0	0
ASV_891	11	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1136	0	10	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1309	0	0	0	0	0	0	0	0	0	1	0	0	0	6	2	7	27	1
ASV_1432	0	0	0	0	0	0	7	8	1	0	1	0	0	0	1	1	0	9
ASV_1517	0	0	0	0	0	0	0	0	0	0	40	0	0	0	2	0	0	0
ASV_1014	1	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1195	0	0	0	0	0	0	11	5	0	0	1	0	0	0	14	0	0	1
ASV_1459	6	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_874	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1026	0	0	0	0	0	0	15	8	0	0	0	0	0	0	0	0	0	0
ASV_1082	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1289	0	0	0	0	0	0	0	6	0	5	0	0	1	9	2	1	0	8
ASV_1489	0	0	0	0	0	0	12	7	0	0	0	0	0	0	0	0	0	0
ASV_818	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
ASV_908	10	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1376	11	1	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_754	0	1	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
ASV_778	0	2	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1111	0	0	0	0	0	0	3	0	0	0	1	0	1	16	8	12	4	0
ASV_1334	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1431	0	0	0	0	0	0	0	4	0	0	12	0	0	0	21	0	0	3
ASV_944	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0
ASV_1210	0	0	0	0	0	0	2	4	0	0	0	0	1	0	0	0	0	35
ASV_1335	0	2	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0
ASV_867	0	1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
ASV_879	0	0	0	0	0	0	3	17	0	0	0	0	0	0	0	0	0	0
ASV_965	0	0	0	1	0	0	3	6	2	0	0	0	2	0	10	0	9	1
ASV_1006	0	0	0	0	0	0	0	25	0	0	0	0	2	0	0	0	0	0
ASV_1044	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1094	0	0	0	0	0	0	0	0	3	0	0	0	3	1	0	0	1	0
ASV_1255	0	0	0	0	0	0	4	3	4	0	0	1	4	0	0	0	1	2
ASV_1471	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1475	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1374	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1461	1	5	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ASV_759	0	1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1087	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1254	0	0	0	0	0	0	0	0	9	0	0	0	1	0	0	0	0	0
ASV_1470	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	37	1	0
ASV_1165	0	0	0	0	0	0	0	0	3	0	0	0	8	0	0	0	0	0
ASV_1263	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	39	2
ASV_1285	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1259	0	0	0	0	0	0	0	0	0	0	25	0	0	0	13	0	0	0
