#OTU ID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
ASV_220	23	14	29	15	61	21	22	26	9	12	11	7	20	22	15	18	20	20
ASV_254	82	22	1	1	34	7	41	10	21	29	9	31	13	3	37	3	7	13
ASV_244	34	14	121	6	3	5	22	20	23	10	11	39	12	5	12	6	2	19
ASV_252	7	11	28	43	24	14	25	11	8	13	13	28	10	36	26	16	25	22
ASV_265	19	15	22	30	8	7	24	19	27	19	19	33	20	16	19	14	16	32
ASV_279	11	35	15	32	7	11	19	31	23	16	19	19	31	7	24	15	13	30
ASV_266	27	23	15	16	2	18	11	24	27	20	20	39	34	8	13	39	9	12
ASV_274	26	29	19	24	88	10	6	12	17	4	19	10	34	10	20	14	10	4
ASV_250	27	11	3	7	24	12	20	8	13	17	23	23	24	19	29	24	34	35
ASV_228	22	25	18	8	13	11	17	23	12	23	25	20	23	30	24	10	29	17
ASV_230	15	10	12	21	24	9	10	6	27	24	13	15	28	56	15	16	19	29
ASV_259	25	14	9	7	12	11	32	13	15	19	22	29	33	22	31	18	11	26
ASV_247	12	7	5	4	1	3	26	18	34	31	30	18	28	43	20	27	22	20
ASV_263	9	29	10	20	35	29	14	31	29	18	13	25	21	7	22	13	4	19
ASV_261	10	16	5	8	8	15	13	9	12	5	57	22	80	29	9	7	20	21
ASV_281	22	35	9	25	12	17	28	24	12	17	21	26	19	20	11	15	18	14
ASV_255	22	14	7	14	6	17	37	20	23	9	32	33	13	7	25	28	14	24
ASV_273	12	33	20	26	7	8	31	17	19	12	13	27	33	7	29	26	9	16
ASV_294	16	17	10	7	6	15	29	19	31	23	28	32	18	13	26	17	12	24
ASV_301	29	14	21	34	19	25	21	18	21	12	21	22	14	8	14	11	17	22
ASV_286	17	14	15	17	4	8	49	24	15	18	17	27	14	26	25	20	10	22
ASV_251	38	22	39	28	23	53	9	4	9	6	11	7	19	16	13	21	11	11
